stdio    D         file_stdio.c:105  file_stdio_fopen                 [   0.00000] opening C:\Users\JJ\Desktop\PJP_W1\Tetris_w1\Debug\allegro5.cfg r
system   D            wsystem.c:721  maybe_parent_dir                 [   0.00000] Also searching C:\Users\JJ\Desktop\PJP_W1\Tetris_w1\
system   D            wsystem.c:771  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\Windows\system32\shcore.dll
system   D            wsystem.c:682  load_library_at_path             [   0.00000] Calling LoadLibrary C:\Windows\system32\shcore.dll
system   I            wsystem.c:685  load_library_at_path             [   0.00000] Loaded C:\Windows\system32\shcore.dll
system   I             system.c:257  al_install_system                [   0.00000] Allegro version: 5.2.1
system   D            wsystem.c:721  maybe_parent_dir                 [   0.00043] Also searching C:\Users\JJ\Desktop\PJP_W1\Tetris_w1\
system   D            wsystem.c:771  _al_win_safe_load_library        [   0.00075] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:682  load_library_at_path             [   0.00079] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:685  load_library_at_path             [   0.01830] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:674  d3d_init_display                 [   0.05676] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1769 d3d_create_display_locked        [   0.05848] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1770 d3d_create_display_locked        [   0.05852] al_display=008F95E0
d3d      D         d3d_disp.cpp:1771 d3d_create_display_locked        [   0.05855] al_display->vt=008F9500
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.06106] found 64 format combinations
display  D   display_settings.c:212  debug_display_settings           [   0.06113] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.06118] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.06121] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.06125] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.06127] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.06130] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.06133] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.06136] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.06139] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.06142] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.06145] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.06148] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.06150] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.06154] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.06156] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.06160] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.06162] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.06166] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.06173] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.06177] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.06180] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.06183] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.06186] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.06189] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.06192] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.06195] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.06198] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.06201] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.06204] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.06207] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.06210] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.06213] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.06216] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.06219] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06222] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.06225] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06228] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.06231] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06234] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.06237] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06240] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.06243] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06246] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.06249] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06252] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.06255] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06258] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.06261] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06264] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.06271] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06274] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.06278] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06280] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.06284] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06286] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.06290] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06292] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.06296] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06298] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.06302] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06305] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.06308] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06311] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.06314] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06317] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.06320] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.06323] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.06326] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.06329] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.06332] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.06334] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.06338] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.06340] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.06344] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.06346] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.06349] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.06352] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.06355] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.06358] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.06361] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.06363] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.06367] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.06370] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.06373] Score is : 769
