bitmap   W          bitmap_io.c:215  al_load_bitmap_flags             [   0.00000] No handler for bitmap extensions .bmp - therefore not trying to load plansza1.bmp.
stdio    D         file_stdio.c:105  file_stdio_fopen                 [   0.00000] opening C:\Users\JJ\Desktop\PJP_W1\WorkingCopy\Debug\allegro5.cfg r
system   D            wsystem.c:721  maybe_parent_dir                 [   0.00000] Also searching C:\Users\JJ\Desktop\PJP_W1\WorkingCopy\
system   D            wsystem.c:771  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\Windows\system32\shcore.dll
system   D            wsystem.c:682  load_library_at_path             [   0.00000] Calling LoadLibrary C:\Windows\system32\shcore.dll
system   I            wsystem.c:685  load_library_at_path             [   0.00000] Loaded C:\Windows\system32\shcore.dll
system   I             system.c:257  al_install_system                [   0.00000] Allegro version: 5.2.1
system   D            wsystem.c:721  maybe_parent_dir                 [   0.00027] Also searching C:\Users\JJ\Desktop\PJP_W1\WorkingCopy\
system   D            wsystem.c:771  _al_win_safe_load_library        [   0.00063] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:682  load_library_at_path             [   0.00067] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:685  load_library_at_path             [   0.00920] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:674  d3d_init_display                 [   0.04995] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1769 d3d_create_display_locked        [   0.05150] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1770 d3d_create_display_locked        [   0.05154] al_display=012041B0
d3d      D         d3d_disp.cpp:1771 d3d_create_display_locked        [   0.05157] al_display->vt=011E8BF8
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.05470] found 64 format combinations
display  D   display_settings.c:212  debug_display_settings           [   0.05475] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.05480] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.05482] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.05486] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.05490] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.05493] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.05495] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.05499] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.05502] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.05505] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.05508] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.05511] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.05513] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.05517] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.05519] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.05522] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.05525] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.05537] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.05540] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.05544] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.05546] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.05549] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.05552] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.05559] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.05561] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.05564] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.05567] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.05570] Score is : 897
